temperature_C,pH,enrichment,thymine_fraction,dna_yield,half_life_hours,stability_ratio,k_U,k_T,k_C,k_A,poly_rate,uv_resistance_ratio,vesicle_fraction,comp_U,comp_T,comp_C,comp_A
55.0,5.0,2.6641993592107687,0.21879898119122257,1529627.2000188183,19.678826305490983,95.1754423212778,1.551940185155182e-05,1.4823726366460207e-07,6.17229607387131e-05,2.4572700993132385e-06,0.010917909796332373,4.107142857142857,0.17,23503.0,8934.0,216.0,8179.0
55.0,5.5,2.7484621251749743,0.22571911172934572,1533020.6780285097,21.570523647322165,95.18484301215456,1.4228615550649042e-05,1.3589458822128688e-07,5.658537050588407e-05,2.252834208830117e-06,0.016382530865951497,4.107142857142857,0.255,23141.0,9087.0,198.0,7832.0
55.0,6.0,2.6907772741320692,0.2209817085035999,1528825.2305434367,23.72119874984222,95.21624772489908,1.294269207129546e-05,1.2357222619371142e-07,5.145944595992153e-05,2.0490538589236874e-06,0.026179441801119387,4.107142857142857,0.34,23521.0,9085.0,217.0,8289.0
55.0,6.5,2.705290644576221,0.22217362781543845,1528889.5829211278,23.709364587305583,95.32066538252975,1.296795621214889e-05,1.2367780957721068e-07,5.152007315505454e-05,2.052460052057563e-06,0.044841131191961245,4.107142857142857,0.425,23459.0,9144.0,229.0,8325.0
55.0,7.0,2.6567384633034097,0.2181862506094588,1529457.709074856,23.511628892283078,95.6649264986743,1.3051674740042204e-05,1.2402830680843355e-07,5.172122993790618e-05,2.0637526524072545e-06,0.07081252129978104,4.107142857142857,0.51,23548.0,8950.0,199.0,8323.0
55.0,7.5,2.659680680013753,0.21842788193349663,1526941.464425888,23.014046355544206,96.77634691344187,1.3326495308609368e-05,1.2518550370510727e-07,5.238424825639976e-05,2.1008790209868597e-06,0.09065219428066049,4.107142857142857,0.5950000000000001,23688.0,9006.0,203.0,8334.0
55.0,8.0,2.677784540650313,0.2199146724205571,1530294.355710333,21.574934321106284,100.15154849573723,1.4207239411860477e-05,1.2896128304147153e-07,5.45361032590914e-05,2.2204234106996623e-06,0.09614236674060486,4.107142857142857,0.68,23462.0,8969.0,209.0,8144.0
55.0,8.5,2.7791031588248285,0.22823552512087966,1533672.5329612787,18.547251216868496,108.69405122784391,1.6846108643013274e-05,1.4089680205974363e-07,6.12292204988533e-05,2.58357909647309e-06,0.08950804652645504,4.107142857142857,0.5950000000000001,23119.0,9299.0,182.0,8143.0
55.0,9.0,2.6836829219876925,0.22039908054971388,1529417.2782232135,13.138705645982919,121.60496299057279,2.3464660326504492e-05,1.7541643748031105e-07,7.973797422743588e-05,3.5269420490536816e-06,0.07591441814672749,4.107142857142857,0.51,23448.0,9013.0,233.0,8200.0
55.0,9.5,2.7174105823233816,0.223168985021727,1526272.6338730075,8.937427970406466,124.22937506465976,3.487275249513412e-05,2.5519328461406977e-07,0.00011842947723147222,5.263555517646215e-06,0.05993755884093769,4.107142857142857,0.425,23401.0,9193.0,210.0,8389.0
55.0,10.0,2.6989725410082315,0.2216547497446374,1526203.8367689627,6.652606840251435,112.5707847371721,4.6507794021100715e-05,3.755842410192769e-07,0.00016864953096955288,7.174506566352262e-06,0.044636939080193797,4.107142857142857,0.34,23444.0,9114.0,216.0,8344.0
58.0,5.0,2.66190380699262,0.21861045757910405,1524715.9580418563,19.714641814468802,95.16883072932013,1.5525224846656415e-05,1.483031856283948e-07,6.17426881545645e-05,2.4582603943686477e-06,0.010920868211813053,4.107142857142857,0.18275,23849.0,9106.0,233.0,8466.0
58.0,5.5,2.7038167938931297,0.2220525869380831,1525157.5356574892,21.544857126224585,95.17823076715524,1.4233954233124638e-05,1.3595502132631658e-07,5.660345588483727e-05,2.2537421149566295e-06,0.01638697002452953,4.107142857142857,0.274125,23659.0,9163.0,216.0,8227.0
58.0,6.0,2.673817914262479,0.21958891083315046,1528933.9676506082,23.729001200353284,95.20963329829551,1.29475482657089e-05,1.2362717947347086e-07,5.1475893030473285e-05,2.0498796403082106e-06,0.02618653561919856,4.107142857142857,0.3655,23444.0,9006.0,214.0,8349.0
58.0,6.5,2.6452848863673424,0.21724561868717307,1525028.9616900028,23.67675552338193,95.31404370230142,1.297282188585605e-05,1.237328098105081e-07,5.1536539602802e-05,2.0532872061589964e-06,0.044853281750004324,4.107142857142857,0.456875,23743.0,9012.0,208.0,8520.0
58.0,7.0,2.712334912176268,0.2227521425458771,1527158.901263548,23.67803922855304,95.65828090351611,1.3056571825564249e-05,1.2408346290986566e-07,5.1737760677830474e-05,2.064584357496507e-06,0.07083170930033676,4.107142857142857,0.54825,23542.0,9201.0,195.0,8368.0
58.0,7.5,2.6800443028415666,0.22010025675510453,1531596.2563377235,22.934812988779086,96.7696241107804,1.3331495508854566e-05,1.2524117441865538e-07,5.240099090511667e-05,2.1017256882323853e-06,0.09067675821825665,4.107142857142857,0.6396249999999999,23468.0,9001.0,231.0,8195.0
58.0,8.0,2.761881573821581,0.22682119205298013,1533532.5455525832,21.858500287156847,100.14459122654645,1.4212570073849672e-05,1.2901863286580835e-07,5.455353366707945e-05,2.2213182550739723e-06,0.09616841834493393,4.107142857142857,0.731,22933.0,9179.0,206.0,8150.0
58.0,8.5,2.7352296746919627,0.22463238874281818,1530556.0085395582,18.42820479690793,108.68650053306999,1.685242942838233e-05,1.4095945967803935e-07,6.124879010926375e-05,2.5846202948359448e-06,0.08953230043543844,4.107142857142857,0.6396249999999999,23339.0,9227.0,214.0,8296.0
58.0,9.0,2.677648940765865,0.21990353619816283,1527446.8654055344,13.220981287574254,121.59651540813229,2.3473464441735163e-05,1.7549444617903068e-07,7.976345946271794e-05,3.5283634285238787e-06,0.075934988603348,4.107142857142857,0.54825,23500.0,9073.0,223.0,8463.0
58.0,9.5,2.7117890888419827,0.22270731647494543,1532243.04842397,8.909279469433924,124.22074517109638,3.488583701147085e-05,2.5530677053557566e-07,0.00011846732874602118,5.265676763090277e-06,0.059953800063411326,4.107142857142857,0.456875,23263.0,9080.0,202.0,8226.0
58.0,10.0,2.676726720208378,0.21982779827798277,1529077.754191212,6.6332633676315265,112.5629647357423,4.6525244091631835e-05,3.7575126549156906e-07,0.00016870343342968697,7.177397936893761e-06,0.04464903430849742,4.107142857142857,0.3655,23222.0,8936.0,218.0,8274.0
61.0,5.0,2.688475216934929,0.2207926506661536,1528715.9491176505,19.885128994771787,95.16233830215305,1.553094541034789e-05,1.4836795242782515e-07,6.176206748108997e-05,2.4592332960875427e-06,0.010923774286137949,4.107142857142857,0.1955,23644.0,9181.0,211.0,8546.0
61.0,5.5,2.694339479410921,0.22127425676321574,1524029.6144188948,21.512942982918677,95.17173769871658,1.423919900365623e-05,1.360143954494042e-07,5.662122214812853e-05,2.254634074808649e-06,0.016391330644209893,4.107142857142857,0.29325,24002.0,9259.0,223.0,8360.0
61.0,6.0,2.7339864638014038,0.22453028929769983,1528399.3298225268,23.77931591160034,95.20313808757305,1.2952319035551784e-05,1.236811697954128e-07,5.1492049893237844e-05,2.0506909178401403e-06,0.026193503931364305,4.107142857142857,0.391,23282.0,9166.0,216.0,8159.0
61.0,6.5,2.6440587809756164,0.21714492404147576,1524533.9797651812,23.65740478738829,95.30754136869072,1.2977601968243852e-05,1.2378684626321135e-07,5.155271550085258e-05,2.0540998322977217e-06,0.04486521733680501,4.107142857142857,0.48875,23762.0,9005.0,205.0,8498.0
61.0,7.0,2.6755648094826063,0.21973237565799184,1533088.2007076247,23.363243626844078,95.65175508600908,1.3061382767206523e-05,1.2413765249939374e-07,5.175399973362546e-05,2.0654014546904468e-06,0.07085055782114973,4.107142857142857,0.5865,23452.0,8933.0,212.0,8057.0
61.0,7.5,2.738036892846036,0.2248629332289015,1531452.641551859,23.0617460035799,96.76302247732842,1.3336407751344722e-05,1.2529586960264368e-07,5.241743813058356e-05,2.1025574847903943e-06,0.09070088756345263,4.107142857142857,0.68425,23425.0,9187.0,203.0,8041.0
61.0,8.0,2.708816271592014,0.22246317206311225,1534555.9626788946,21.642927078464393,100.13775935249971,1.4217806964982008e-05,1.290749777371756e-07,5.457065651633744e-05,2.2221973825876906e-06,0.09619400903662599,4.107142857142857,0.782,22997.0,8925.0,202.0,7995.0
61.0,8.5,2.725627534723468,0.22384380719951188,1532022.5876464443,18.383856850399006,108.67908592911455,1.6858639025786127e-05,1.410210193337817e-07,6.12680144148179e-05,2.5856432058071735e-06,0.08955612523713899,4.107142857142857,0.68425,23327.0,9172.0,216.0,8260.0
61.0,9.0,2.6341276959644575,0.2163293276879023,1527206.2747736992,13.147667703622618,121.58822008166867,2.348211368512615e-05,1.7557108791500321e-07,7.978849501222075e-05,3.5297598431805033e-06,0.07595519512140694,4.107142857142857,0.5865,23452.0,8839.0,208.0,8360.0
61.0,9.5,2.6861883183770012,0.2206048377411064,1524206.0464987517,8.856615203202564,124.21227081941535,3.489869136008902e-05,2.5541826781953774e-07,0.00011850451237237424,5.267760751420274e-06,0.05996975394140571,4.107142857142857,0.48875,23936.0,9184.0,199.0,8312.0
61.0,10.0,2.6949346164830503,0.22132313275464666,1529899.8809065144,6.638011540101704,112.55528567901057,4.654238720065063e-05,3.7591536315909164e-07,0.00016875638478344433,7.180238524004059e-06,0.04466091554446865,4.107142857142857,0.391,23307.0,9026.0,211.0,8238.0
64.0,5.0,2.6968900745715154,0.22148372593099402,1531298.7455374324,19.774076139903777,95.15596184689441,1.5536566221466115e-05,1.4843159415643814e-07,6.178110784981886e-05,2.4601892586459663e-06,0.0109266293960795,4.107142857142856,0.20825,23428.0,9064.0,209.0,8223.0
64.0,5.5,2.7223816355810615,0.22357723577235772,1532202.5606680322,21.660561494315925,95.16536061364124,1.424435231827809e-05,1.3607273817841683e-07,5.66386776672125e-05,2.2555105047764334e-06,0.01639561479086577,4.107142857142856,0.312375,23288.0,9130.0,203.0,8215.0
64.0,6.0,2.7409711508628147,0.2251039109404244,1527504.1776124998,23.900119276128954,95.19675889848077,1.2957006614892153e-05,1.237342222458501e-07,5.150792416132116e-05,2.0514880702451096e-06,0.026200350038901827,4.107142857142856,0.4165,23346.0,9261.0,208.0,8326.0
64.0,6.5,2.6834437143016774,0.2203794354740508,1529607.6237361927,23.728701588726537,95.3011551839438,1.298229869774124e-05,1.2383994404306764e-07,5.156860847128159e-05,2.054898309828937e-06,0.04487694360692858,4.107142857142856,0.520625,23439.0,9049.0,205.0,8368.0
64.0,7.0,2.7075622886653745,0.22236018795802595,1528805.740849681,23.613825928344447,95.64534583685025,1.3066109817848815e-05,1.2419090075591913e-07,5.176995475712633e-05,2.0662043254314783e-06,0.07086907579183467,4.107142857142856,0.62475,23516.0,9133.0,183.0,8241.0
64.0,7.5,2.6754881674810034,0.2197260813873288,1530647.1769240843,22.97272788995503,96.75653876649783,1.3341234336397044e-05,1.2534961467089522e-07,5.2433597682725094e-05,2.1033747989653418e-06,0.09072459374768958,4.107142857142856,0.7288749999999999,23317.0,8920.0,208.0,8151.0
64.0,8.0,2.662977854522996,0.21869866438111563,1523184.1477496785,21.590878294203968,100.13104951377986,1.4222952537601967e-05,1.2913034383591502e-07,5.4587479875143655e-05,2.2230612036406025e-06,0.09621915093944491,4.107142857142856,0.833,23980.0,9186.0,242.0,8595.0
64.0,8.5,2.7142322183028136,0.2229079599572359,1529531.5647324324,18.37824349163087,108.67180376958231,1.686474034307047e-05,1.410815096303337e-07,6.128690247399924e-05,2.586648306908451e-06,0.08957953221871821,4.107142857142856,0.7288749999999999,23401.0,9174.0,222.0,8359.0
64.0,9.0,2.684704564916672,0.22048298359219046,1527925.448402168,13.239014345998902,121.58007293165997,2.3490612106966778e-05,1.7564639829939912e-07,7.981309267268316e-05,3.5311319449065495e-06,0.07597504727387946,4.107142857142856,0.62475,23430.0,9057.0,198.0,8393.0
64.0,9.5,2.6957642385596072,0.2213912659686634,1532410.637077164,8.910773526527176,124.20394784205287,3.4911321560455175e-05,2.5552782827256935e-07,0.00011854104563143812,5.269808455496624e-06,0.059985428033178904,4.107142857142856,0.520625,23219.0,9029.0,206.0,8329.0
64.0,10.0,2.7064385668175035,0.22226790162269353,1529527.7824718577,6.6796381789066706,112.54774379052759,4.6559231375975074e-05,3.7607661026894355e-07,0.00016880840998147734,7.18302965374373e-06,0.044672588416923696,4.107142857142856,0.4165,23561.0,9191.0,184.0,8415.0
67.0,5.0,2.7213099586987726,0.22348922366125187,1532356.2376212778,19.866010163480638,95.14969828371808,1.554208986626015e-05,1.4849413987168484e-07,6.179981807568126e-05,2.4611287205463473e-06,0.010929434870547483,4.107142857142857,0.204,23189.0,9094.0,201.0,8207.0
67.0,5.5,2.700947593221206,0.2218169521002923,1527758.9018473527,21.627539894478733,95.15909643179877,1.4249416548134651e-05,1.361300761513957e-07,5.665583052329718e-05,2.2563718068806107e-06,0.016399824458551506,4.107142857142857,0.306,23604.0,9183.0,212.0,8400.0
67.0,6.0,2.6783771821563236,0.21996334346211355,1526379.228091146,23.62013683025561,95.19049264987193,1.2961613160580198e-05,1.23786361047396e-07,5.152352318387517e-05,2.0522714631789287e-06,0.02620707712832913,4.107142857142857,0.408,23816.0,9121.0,216.0,8313.0
67.0,6.5,2.6829064678573906,0.22033531378538956,1526626.6274802987,23.63285161435992,95.2948820635351,1.298691423540858e-05,1.238921273933867e-07,5.158422587189947e-05,2.0556830050162916e-06,0.044888466018362765,4.107142857142857,0.51,23825.0,9160.0,212.0,8376.0
67.0,7.0,2.6991285190840566,0.2216675595383042,1530078.272149839,23.481028257098853,95.639050060374,1.307075515250287e-05,1.2424323199145596e-07,5.17856331348716e-05,2.0669933379984267e-06,0.0708872718315736,4.107142857142857,0.612,23519.0,9103.0,216.0,8228.0
67.0,7.5,2.664316570572558,0.21880860724508933,1531528.7639012476,22.931558225592166,96.75016984665795,1.3345977484821075e-05,1.254024341622579e-07,5.24494770427684e-05,2.104178005661292e-06,0.0907478878050014,4.107142857142857,0.714,23405.0,8867.0,187.0,8065.0
67.0,8.0,2.679032618812274,0.22001717159327855,1529881.00781184,21.53094637312503,100.1244584695366,1.4228009159291743e-05,1.2918475644100203e-07,5.460401153204119e-05,2.2239101144695943e-06,0.09624385575567936,4.107142857142857,0.816,23517.0,8969.0,198.0,8081.0
67.0,8.5,2.7161351857131897,0.22306424230494795,1532764.1739881458,18.281071124122022,108.66465053719219,1.6870736187575025e-05,1.4114095818626994e-07,6.130546303122466e-05,2.5876360591821778e-06,0.08960253227494636,4.107142857142857,0.714,23325.0,9066.0,203.0,8049.0
67.0,9.0,2.696080583715374,0.22141724600561044,1526972.97799592,13.201930244585261,121.57207002303488,2.3498963617553072e-05,1.7572041171732798e-07,7.983726383183931e-05,3.532480363088524e-06,0.07599455430094192,4.107142857142857,0.612,23350.0,9077.0,227.0,8341.0
67.0,9.5,2.7025179651773796,0.22194591984548528,1527380.160002191,8.8842438330998,124.19577221901297,3.492373342398031e-05,2.556355019176284e-07,0.00011857694543665236,5.271820814606332e-06,0.060000829634230604,4.107142857142857,0.51,23597.0,9193.0,227.0,8403.0
67.0,10.0,2.68063214869281,0.2201485339506173,1523991.2348382971,6.611058654481275,112.54033542756322,4.657578436795142e-05,3.762350804431036e-07,0.00016885953310937434,7.185772606411004e-06,0.04468405835899635,4.107142857142857,0.408,23843.0,9130.0,203.0,8296.0
